Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BrokenToString.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,,,,1,,0,0,0,1,,13,,,,1,,,,7,,,4,1,5,,,,,,,2,4,3,,,1,,,,,,,,1,1,1,1,,,0,,,,"0.71",1,1,1,1
File,"CDL.java",4,3,5,2,22,0,15,7,,,,,1,10,0,10,,10,0,0,,,,10,,0,1,0,9,,267,,,,13,,,,153,,,35,96,101,,,,,,,76,106,34,,,88,,,,,,,,11,8,14,7,,,5,,,,"0.66",42,39,58,28
File,"CDLTest.java",1,1,1,1,13,0,8,3,,,,,1,0,0,18,,18,18,2,,,,18,,0,0,0,18,,304,,,,34,,,,184,,,83,116,86,,,,,,,86,110,63,,,71,,,,,,,,2,2,2,1,,,1,,,,"0.47",23,23,23,18
File,"Cookie.java",6,6,9,2,45,2,28,15,,,,,1,4,0,4,,4,0,0,,,,4,,0,0,0,4,,204,,,,17,,,,116,,,23,80,71,,,,,,,60,89,27,,,73,,,,,,,,11,11,14,5,,,3,,,,"0.61",26,26,36,8
File,"CookieList.java",3,3,3,1,25,0,14,11,,,,,1,2,0,2,,2,0,0,,,,2,,0,0,0,2,,66,,,,4,,,,31,,,10,20,31,,,,,,,17,25,11,,,19,,,,,,,,4,4,4,1,,,3,,,,"1.00",6,6,6,2
File,"CookieListTest.java",1,1,1,1,16,0,11,4,,,,,1,0,0,9,,9,9,0,,,,9,,0,0,0,9,,190,,,,16,,,,113,,,50,74,61,,,,,,,61,72,38,,,48,,,,,,,,2,2,2,1,,,1,,,,"0.54",10,10,10,9
File,"CookieTest.java",1,1,1,1,18,0,13,5,,,,,1,0,0,11,,11,11,0,,,,11,,0,0,0,11,,242,,,,15,,,,149,,,68,100,78,,,,,,,59,74,50,,,40,,,,,,,,2,2,2,1,,,1,,,,"0.52",14,14,14,11
File,"EnumTest.java",1,1,1,1,49,7,30,11,,,,,1,0,0,8,,8,8,0,,,,8,,0,0,0,8,,433,,,,75,,,,261,,,79,218,97,,,,,,,226,237,70,,,194,,,,,,,,3,3,3,1,,,1,,,,"0.37",10,10,10,8
File,"ExceptionalBean.java",1,1,1,1,6,0,3,3,,,,,2,0,0,6,,6,6,0,,,,6,,0,0,0,6,,66,,,,8,,,,27,,,13,6,31,,,,,,,10,18,12,,,6,,,,,,,,1,1,1,1,,,0,,,,"1.15",6,6,6,6
File,"Fraction.java",1,1,1,1,10,0,7,3,,,,,1,0,1,13,,13,13,3,,,,13,,0,0,0,13,,180,,,,22,,,,103,,,37,49,56,,,,,,,45,69,29,,,42,,,,,,,,6,6,7,4,,,1,,,,"0.54",24,24,25,18
